film,festival,year,section,recognition_type,original_text,source_url,status,reason
Arco,Cannes Film Festival,2025,,screening,Cannes Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
Arco,Locarno Film Festival,2025,Locarno Kids,screening,The film opened in the Locarno Kids section at the 78th Locarno Film Festival on 6 August 2025.,https://en.wikipedia.org/wiki/Arco_(film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Bombay Rose,Venice Film Festival,2019,,screening,Venice Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
Have a Nice Day,Berlin International Film Festival,2017,,screening,Berlin International Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
Isle of Dogs,Berlin International Film Festival,2018,,screening,Berlin International Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
Mars Express,Cannes Film Festival,2023,,screening,Cannes Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
My Neighbors the Yamadas,Japan Media Arts Festival,1999,,award,My Neighbors the Yamadas received an Excellence Award for animation at the 1999 Japan Media Arts Festival.,https://en.wikipedia.org/wiki/My_Neighbors_the_Yamadas,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Nuts!,Sundance,2016,,winner,Nuts! won the Special Jury Award for Editing at its Sundance premiere in 2016.,https://en.wikipedia.org/wiki/Nuts!_(film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
The Illusionist,Cannes Film Festival,2008,,screening,The first footage from the film was shown at the 2008 Cannes Film Festival.,https://en.wikipedia.org/wiki/The_Illusionist_(2010_film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
The Illusionist,Edinburgh International Film Festival,2010,,screening,The film opened the 2010 Edinburgh International Film Festival on 16 June.,https://en.wikipedia.org/wiki/The_Illusionist_(2010_film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
True North,Annecy International Animation Film Festival,2020,,nominee,"screened at the 2020 Annecy International Animation Film Festival, nominated for feature films contrechamp in competition.",https://en.wikipedia.org/wiki/True_North_(2020_film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Unicorn Wars,45th Annecy International Animation Film Festival,2022,Work in Progress,official_selection,the project was showcased in a 'Work in Progress' panel of the 45th Annecy International Animation Film Festival.,https://en.wikipedia.org/wiki/Unicorn_Wars,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Unicorn Wars,46th Annecy International Animation Film Festival,2022,official competition,official_selection,"The film was presented at the 46th Annecy International Animation Film Festival on 16 June 2022, as part of the festival's official competition.",https://en.wikipedia.org/wiki/Unicorn_Wars,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Virus Tropical,Animation Is Film Festival,2017,,screening,Virus Tropical had its world premiere at the Animation Is Film Festival on 21 October 2017.,https://en.wikipedia.org/wiki/Virus_Tropical,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Wolf Children,Tokyo Anime Award Festival (TAF),2013,,winner,the 2013 Animation of the Year award at TAF.,https://en.wikipedia.org/wiki/Wolf_Children,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Wolf Children,Oslo Films from the South festival,,,winner,"It won two awards at the Oslo Films from the South festival in Norway: the main award, the Silver Mirror, and the audience award.",https://en.wikipedia.org/wiki/Wolf_Children,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Wolf Children,New York International Children's Film Festival,2013,,winner,It won an Audience Award at 2013 New York International Children's Film Festival.,https://en.wikipedia.org/wiki/Wolf_Children,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
